Unnamed: 0,sample,Observed,Chao1,Shannon,Simpson,simpson_e,PD_whole_tree,Fisher,ACE,pH,Mositure,TC,TN,C.N,Nitrate,Ammonium,OM,Sand,Clay,Silt,Population.Density,Large.Park,Small.Park,Two.Way.Street,One.Way.Street,Residential.Area,Density2,longitude,latitude,Population Density,Relative Deprivation,Tropospheric Nitrogen Dioxide Emissions,Fossil Fuel CO2 emissions,Rurality,Koppen Geiger
1,1,3449.75,5747.29503,7.39792556,0.998404865,0.183911446,123.0724975,1715.956901,6217.555663,6.88,0.26009556500000003,7.13,0.58,12.29310345,39.17,10.05,11.09,38,20,42,787.5299587,1,0,0,0,0,1,-87.53,41.72,0.0,13,0.0001019626,183.2481536865,urban centre,"Cold, no dry season, hot summer"
2,2,3165.8,4894.228195,7.256822095,0.9980733960000001,0.17649677600000002,119.841506,1464.345933,5216.870494,7.22,0.287210246,6.34,0.47000000000000003,13.4893617,11.26,7.09,10.15,62,12,26,1070.821428,1,0,0,0,0,1,-87.61,41.79,1520.5303955078,20,0.00010145960000000001,566.4279174805,urban centre,"Cold, no dry season, hot summer"
3,3,3973.5,6471.709209,7.407392097,0.998192893,0.140974125,132.5143275,1862.230843,7144.218237,6.96,0.234167227,7.36,0.59,12.47457627,25.17,9.05,11.91,42,24,34,3124.879551,1,0,0,0,0,1,-87.62,41.88,4163.2426757812,16,0.0001242656,0.0,urban centre,"Cold, no dry season, hot summer"
4,4,3522.2,5707.063085,7.216821283,0.997341251,0.12318345400000001,120.411036,1617.866733,6280.494255,6.98,0.253618989,6.43,0.52,12.36538462,28.33,8.14,10.63,18,32,50,2146.50417,1,0,0,0,0,1,-87.7,41.77,5059.65625,26,0.0001009078,559.81640625,urban centre,"Cold, no dry season, hot summer"
5,5,3633.2,5645.269142,7.18258988,0.99506992,0.11467457800000001,124.740914,1672.015126,6098.642417,6.8100000000000005,0.257955402,6.19,0.46,13.45652174,19.37,5.64,8.26,60,14,26,2295.676492,1,0,0,0,0,1,-87.58,41.78,180.3402252197,23,0.00010302030000000001,271.9969177246,urban centre,"Cold, no dry season, hot summer"
6,6,3571.6,5673.307802,7.197872248,0.99743716,0.11100821400000001,123.510084,1549.667654,6256.730952,6.94,0.276611983,7.9,0.68,11.61764706,30.97,8.67,13.23,22,34,44,3263.293909,1,0,0,0,0,1,-87.71,41.88,3432.880859375,25,0.0001247005,684.4439086914,urban centre,"Cold, no dry season, hot summer"
7,7,4389.0,6810.682442,7.5047199760000005,0.998306223,0.14417723600000001,138.222565,1957.55793,7356.199454,7.17,0.362019085,8.27,0.68,12.16176471,37.9,8.18,11.5,34,20,46,3483.34853,1,0,0,0,0,2,-87.66,41.77,4821.72265625,22,9.77759e-05,598.7625732422,urban centre,"Cold, no dry season, hot summer"
8,8,3664.4,5941.087898,7.38196097,0.997843322,0.148082567,127.40448,1836.169416,6460.314122,7.25,0.255615513,7.21,0.54,13.35185185,28.77,6.21,9.54,36,16,48,3964.689738,1,0,0,0,0,2,-87.58,41.79,4020.6633300781,0,0.0001076996,0.0,urban centre,"Cold, no dry season, hot summer"
9,9,3876.4,6442.621277,7.431703394,0.99822809,0.150237744,138.51802,1918.82177,6964.9431,7.24,0.1735352,4.97,0.24,20.70833333,15.18,4.13,4.36,74,10,16,3390.687629,1,0,0,0,0,2,-87.64,41.96,0.0,0,0.0001141636,182.0194091797,water,"Cold, no dry season, hot summer"
10,10,3928.2,6221.506403,7.387057246,0.9979194760000001,0.12663226700000002,133.629574,1859.732807,6830.631323,7.06,0.173631954,5.4,0.49,11.02040816,26.72,8.35,8.4,54,20,26,9021.130317,1,0,0,0,0,3,-87.75,41.92,4930.1440429688,26,0.00011574690000000001,586.5223999023,urban centre,"Cold, no dry season, hot summer"
11,11,3667.0,6047.667901,7.319562511,0.9979514960000001,0.138904898,129.4868025,1736.98601,6668.134181,6.92,0.30413560100000003,7.3,0.68,10.73529412,35.33,11.16,12.62,26,30,44,5430.03211,1,0,0,0,0,2,-87.76,41.95,8912.3642578125,26,0.0001122205,604.3263549805,urban centre,"Cold, no dry season, hot summer"
12,12,3859.25,6094.243372,7.504793323,0.9984928890000001,0.17856722300000002,135.69472,1901.200697,6634.79168,7.12,0.379118294,9.94,0.59,16.84745763,24.04,8.4,13.54,50,16,34,5620.76186,1,0,0,0,0,2,-87.64,41.93,12940.5341796875,21,0.0001184192,301.308013916,urban centre,"Cold, no dry season, hot summer"
13,13,3758.2,5923.028368,7.520919886,0.998503172,0.20619888900000002,132.881836,1916.353118,6526.42331,7.18,0.293789111,13.03,0.96,13.57291667,26.45,12.72,18.32,44,20,36,6963.736106,1,0,0,0,0,3,-87.62,41.87,3373.205078125,3,0.0001237,0.0,urban centre,"Cold, no dry season, hot summer"
14,14,4378.2,6902.438169,7.408723763,0.997718112,0.10989185700000001,138.54274,1926.935893,7514.134453,6.86,0.30077125200000004,8.54,0.87,9.816091954000001,42.15,10.1,15.46,28,26,46,11427.16915,1,0,0,0,0,4,-87.7,41.96,4990.5791015625,20,0.00011176110000000001,598.7625732422,urban centre,"Cold, no dry season, hot summer"
15,15,4329.6,6954.918204,7.5683724770000005,0.9984242680000001,0.158214911,144.536336,2123.493948,7504.248646,7.07,0.188714653,4.68,0.36,13.0,17.2,4.27,7.25,74,8,18,8058.587,1,0,0,0,0,3,-87.69,42.0,10477.38671875,24,0.00011107240000000001,436.397857666,urban centre,"Cold, no dry season, hot summer"
16,16,3578.25,5868.120308,7.304256949,0.997933174,0.136481468,131.17341,1681.606973,6410.151173,7.16,0.17866837500000002,5.29,0.4,13.225,12.69,5.97,8.57,54,26,20,9060.833186,1,0,0,0,0,3,-87.68,41.92,8526.921875,6,0.00012035700000000001,657.7380371094,urban centre,"Cold, no dry season, hot summer"
17,17,3817.2,6256.923252,7.297270636,0.997623706,0.118390348,129.816942,1802.820235,6835.982945,7.31,0.215915712,6.64,0.44,15.09090909,26.32,6.98,9.09,32,30,38,8950.90431,1,0,0,0,0,3,-87.74,41.92,4930.1440429688,20,0.0001184462,622.1301879883,urban centre,"Cold, no dry season, hot summer"
18,18,3683.0,6034.883457,7.39334334,0.9981367800000001,0.150766027,131.51904,1837.31904,6657.893556,7.04,0.19156613900000002,5.89,0.43,13.69767442,19.45,6.46,9.74,50,24,26,9274.953016,1,0,0,0,0,3,-87.66,42.01,14251.1025390625,14,0.00010902600000000001,0.0,urban centre,"Cold, no dry season, hot summer"
19,19,3760.4,6088.479928,7.332108743,0.9977174740000001,0.12622225,130.937982,1790.015727,6649.657065,7.14,0.254878365,9.05,0.74,12.22972973,38.35,9.35,12.12,34,22,44,11231.99953,1,0,0,0,0,4,-87.69,41.82,9900.416015625,29,0.0001183062,614.341003418,urban centre,"Cold, no dry season, hot summer"
20,20,3823.6,6367.074311,7.364605881,0.99750544,0.112000155,134.616184,1898.019,7000.091225,7.11,0.198839433,7.39,0.46,16.06521739,28.01,7.01,9.78,44,20,36,10417.4032,1,0,0,0,0,4,-87.65,41.85,6031.6625976562,30,0.0001227162,629.9193725586,urban centre,"Cold, no dry season, hot summer"
21,21,4007.4,6375.083431,7.521931896,0.9985284350000001,0.173533442,135.687222,1960.88764,6951.401031,6.8,0.236929296,12.42,1.2,10.35,45.48,15.63,21.48,36,24,40,10572.49261,1,0,0,0,0,4,-87.67,41.86,6803.8969726562,29,0.0001269403,848.0176391602,urban centre,"Cold, no dry season, hot summer"
22,22,3007.6,4788.822268,7.041397438,0.997177933,0.146642196,116.57356,1318.599993,5132.855425,7.03,0.28839754700000003,8.35,0.62,13.46774194,15.99,13.76,11.39,40,24,36,11929.83646,1,0,0,0,0,4,-87.62,41.88,4163.2426757812,16,0.0001242656,0.0,urban centre,"Cold, no dry season, hot summer"
23,23,3930.6,6322.378935,7.381502259,0.998004242,0.133295232,131.513056,1843.456277,6884.047528,7.03,0.23297783900000002,8.82,0.74,11.91891892,39.03,10.77,13.87,28,30,42,11935.4275,1,0,0,0,0,4,-87.72,41.92,10326.1953125,23,0.00011947800000000001,613.2282714844,urban centre,"Cold, no dry season, hot summer"
24,24,3691.2,5941.185072,7.255316475,0.996622281,0.12451756200000001,131.079288,1728.361468,6557.894748,6.91,0.246624061,6.54,0.51,12.82352941,34.51,7.09,10.71,48,22,30,12958.04937,1,0,0,0,0,4,-87.7,41.97,9115.4169921875,22,0.00011100920000000001,548.8057250977,urban centre,"Cold, no dry season, hot summer"
25,25,4115.0,6690.849613,7.513712515,0.998414401,0.15724315,138.31761,2037.930635,7352.137039,7.18,0.19944051000000002,7.53,0.59,12.76271186,25.74,7.45,10.27,38,24,38,14166.4653,1,0,0,0,0,5,-87.63,41.87,10771.1044921875,6,0.0001220258,523.4553833008,urban centre,"Cold, no dry season, hot summer"
26,26,4545.2,7397.139819,7.522702285,0.9981479600000001,0.119770441,147.774234,2143.370583,8097.799885,7.14,0.24227313400000003,5.91,0.46,12.84782609,26.13,6.29,9.97,40,24,36,13546.17451,1,0,0,0,0,5,-87.64,41.95,270.7977294922,20,0.0001137096,0.0,urban centre,"Cold, no dry season, hot summer"
27,27,3822.6,6407.790421,7.501158937,0.9983458380000001,0.160330995,135.272494,2012.157863,7023.11054,7.17,0.18673455900000002,6.73,0.52,12.94230769,16.42,10.99,12.09,24,26,50,14050.72738,1,0,0,0,0,5,-87.72,41.97,10846.6962890625,27,0.0001097373,538.9591674805,urban centre,"Cold, no dry season, hot summer"
28,28,3992.4,6775.973501,7.508949171,0.998567516,0.183402693,137.397564,2026.366807,7462.99604,7.17,0.19629274,7.33,0.47000000000000003,15.59574468,18.51,7.03,9.56,40,24,36,24195.07919,1,0,0,0,0,5,-87.62,41.9,10280.9833984375,0,0.0001236745,0.0,urban centre,"Cold, no dry season, hot summer"
29,29,4035.2,6670.946347,7.599341063,0.9985820950000001,0.193607095,140.916262,2121.99511,7194.285285,7.14,0.32023128,14.29,0.8300000000000001,17.21686747,43.27,26.63,15.73,56,14,30,17032.8857,1,0,0,0,0,5,-87.63,41.94,0.0,0,0.0001184927,0.0,urban centre,"Cold, no dry season, hot summer"
30,30,4326.8,6996.631865,7.707191484,0.9988786980000001,0.210934574,143.344416,2322.461827,7733.520226,7.02,0.18554593500000002,9.28,0.72,12.88888889,28.51,9.36,11.35,56,18,26,21113.42523,1,0,0,0,0,5,-87.66,41.99,13478.3759765625,21,0.00011229560000000001,346.2182312012,urban centre,"Cold, no dry season, hot summer"
31,31,3611.6,6229.35854,7.39719876,0.9983274750000001,0.17214622300000001,126.55101,1791.261895,6859.632679,7.19,0.213567004,8.21,0.54,15.2037037,43.99,8.61,9.44,36,24,40,2276.920807,0,1,0,0,0,1,-87.68,41.8,4604.8315429688,26,0.00010972630000000001,614.341003418,urban centre,"Cold, no dry season, hot summer"
32,32,3830.2,6170.458896,7.470009284,0.9984506200000001,0.173952075,137.105792,1878.915422,6741.585058,7.2,0.198396387,8.7,0.42,20.71428571,23.37,6.4,8.16,44,22,34,679.4905992,0,1,0,0,0,1,-87.73,41.98,1205.1663818359,24,0.0001026235,519.6076660156,urban centre,"Cold, no dry season, hot summer"
33,33,4581.4,7413.296791,7.604894041,0.998594312,0.15768263100000002,146.351254,2204.370454,8141.030337,7.38,0.24431453600000003,8.43,0.62,13.59677419,38.83,10.99,12.24,30,28,42,825.529819,0,1,0,0,0,1,-87.72,41.81,4198.021484375,8,0.0001190172,604.3263549805,urban centre,"Cold, no dry season, hot summer"
34,34,3646.6,5826.957725,7.458726629,0.9984392270000001,0.18432547700000002,131.388112,1840.872136,6383.656969,7.2,0.339089383,9.62,0.6000000000000001,16.03333333,30.5,5.41,12.51,70,10,20,1813.990423,0,1,0,0,0,1,-87.57,41.72,3393.1181640625,24,9.39178e-05,332.9194030762,urban centre,"Cold, no dry season, hot summer"
35,35,3813.6,6120.87148,7.364147153,0.998147419,0.144304018,131.285838,1737.649343,6653.429301,7.21,0.294092999,5.49,0.38,14.44736842,20.68,6.87,9.23,28,38,34,2977.432565,0,1,0,0,0,1,-87.81,41.98,3089.7800292969,4,0.00010152470000000001,399.0180969238,urban centre,"Cold, no dry season, hot summer"
36,36,3441.8,5617.712664,7.150568219,0.9962469810000001,0.08854878000000001,125.908472,1590.85231,6142.48291,7.17,0.291269213,7.91,0.59,13.40677966,42.94,7.24,8.33,26,30,44,2257.157195,0,1,0,0,0,1,-87.68,41.68,2005.0871582031,8,8.996690000000001e-05,313.8320007324,urban centre,"Cold, no dry season, hot summer"
37,37,4522.6,7037.634385,7.575194207,0.9982772520000001,0.138046472,145.962898,2086.770706,7598.090797,7.52,0.22648458,6.88,0.45,15.28888889,17.98,3.68,6.98,72,10,18,3684.909946,0,1,0,0,0,2,-87.62,41.75,3808.8776855469,22,9.41514e-05,533.1104736328,urban centre,"Cold, no dry season, hot summer"
38,38,3637.4,5888.940201,7.379003259,0.998296,0.16970670300000001,127.64561,1735.074782,6434.127483,7.12,0.29025264900000003,12.79,0.9500000000000001,13.46315789,44.24,10.49,19.46,38,26,36,4770.875581,0,1,0,0,0,2,-87.65,41.87,4463.5947265625,29,0.0001258423,856.0708618164,urban centre,"Cold, no dry season, hot summer"
39,39,4283.2,7046.180333,7.480499808,0.998127223,0.137750648,141.241182,2080.162492,7733.507194,7.26,0.196577405,6.59,0.51,12.92156863,26.17,5.66,8.04,44,22,34,4818.181109,0,1,0,0,0,2,-87.63,41.87,10771.1044921875,6,0.0001220258,523.4553833008,urban centre,"Cold, no dry season, hot summer"
40,40,4073.8,6637.121667,7.393942013,0.9980164410000001,0.138124034,135.885696,1900.811516,7301.996716,7.13,0.20656439999999998,8.41,0.59,14.25423729,31.41,7.17,11.78,36,28,36,5314.407624,0,1,0,0,0,2,-87.65,41.74,3933.5322265625,20,9.489290000000001e-05,515.3065795898,urban centre,"Cold, no dry season, hot summer"
41,41,4176.2,6641.205158,7.453160806,0.9977865380000001,0.12119523800000001,140.466654,1969.173428,7271.310699,7.18,0.23036492500000003,6.93,0.46,15.06521739,27.3,5.88,8.49,56,16,28,5716.137042,0,1,0,0,0,2,-87.59,41.77,4402.7934570312,21,9.841610000000001e-05,381.3703308105,urban centre,"Cold, no dry season, hot summer"
42,42,3844.0,6212.734145,7.391494407,0.997073678,0.160649167,134.439136,1935.511377,6786.442918,7.22,0.16519957200000002,8.41,0.55,15.29090909,17.29,6.86,10.32,40,28,32,6686.57109,0,1,0,0,0,3,-87.73,41.91,6257.0810546875,31,0.00012071070000000001,639.9341430664,urban centre,"Cold, no dry season, hot summer"
43,43,3786.0,6196.198812,7.396298143,0.997311877,0.10966592600000001,133.115126,1903.027054,6812.836886,7.18,0.20960625500000002,7.39,0.52,14.21153846,22.62,7.38,8.4,62,16,22,7420.107108,0,1,0,0,0,3,-87.68,41.97,7223.0830078125,21,0.00011416720000000001,456.9929504395,urban centre,"Cold, no dry season, hot summer"
44,44,4308.2,6627.438551,7.600252365,0.99855614,0.172252079,144.58827,2059.953538,7150.991061,6.97,0.449736248,14.77,0.79,18.69620253,24.74,36.3,31.16,54,18,28,6924.65542,0,1,0,0,0,3,-87.67,41.89,3302.0966796875,20,0.0001263285,888.858581543,urban centre,"Cold, no dry season, hot summer"
45,45,4038.8,6697.782938,7.411060481,0.996880015,0.11875246800000001,133.311434,2032.659067,7357.824362,6.94,0.226697382,6.74,0.6000000000000001,11.23333333,20.46,6.6,9.83,56,20,24,7231.822232,0,1,0,0,0,3,-87.59,41.8,10166.564453125,22,0.0001101862,244.0605926514,urban centre,"Cold, no dry season, hot summer"
46,46,4418.2,7179.583639,7.512202464,0.998304728,0.137500066,145.202156,2078.946992,7940.331819,7.28,0.17007438300000002,5.64,0.46,12.26086957,24.55,6.29,7.92,28,30,42,8625.415547,0,1,0,0,0,3,-87.7,41.97,9115.4169921875,22,0.00011100920000000001,548.8057250977,urban centre,"Cold, no dry season, hot summer"
47,47,4600.4,7261.006152,7.472130502,0.9975794090000001,0.10555278400000001,145.228358,2124.515155,7986.012092,6.9,0.297600688,7.5,0.7000000000000001,10.71428571,38.11,7.4,12.11,40,30,30,9428.429718,0,1,0,0,0,3,-87.7,41.96,4990.5791015625,20,0.00011176110000000001,598.7625732422,urban centre,"Cold, no dry season, hot summer"
48,48,3764.25,6163.95426,7.376010278,0.99823507,0.153789596,125.792795,1770.116219,6780.96467,7.13,0.26130834000000003,6.92,0.62,11.16129032,33.59,7.5,10.98,30,30,40,8955.324908,0,1,0,0,0,3,-87.69,41.77,7445.6997070312,28,9.99256e-05,598.7625732422,urban centre,"Cold, no dry season, hot summer"
49,49,4821.4,7767.227136,7.770090255,0.99879722,0.18874606600000002,151.857946,2541.9245,8439.764948,7.27,0.118608236,3.64,0.27,13.48148148,17.03,7.31,4.42,62,14,24,11075.05613,0,1,0,0,0,4,-87.71,41.92,9629.0869140625,27,0.00012085250000000001,666.6400756836,urban centre,"Cold, no dry season, hot summer"
50,50,4169.0,6706.611558,7.569990499,0.998540427,0.16896766300000002,139.069048,2102.871597,7381.723854,7.18,0.193911624,6.41,0.39,16.43589744,21.73,6.13,7.9,66,14,20,10375.76898,0,1,0,0,0,4,-87.67,41.95,8171.7231445312,20,0.0001178058,488.9953613281,urban centre,"Cold, no dry season, hot summer"
51,51,4482.6,6918.595934,7.494820692,0.998019262,0.125689368,141.959448,2082.077657,7612.556251,7.21,0.207712752,7.02,0.47000000000000003,14.93617021,23.89,5.65,9.19,32,28,40,11431.7206,0,1,0,0,0,4,-87.65,41.93,12940.5341796875,0,0.00012073860000000001,475.4853210449,urban centre,"Cold, no dry season, hot summer"
52,52,4764.4,7573.179479,7.66369911,0.998680933,0.17043861800000001,148.874624,2342.496462,8250.64073,7.1,0.19740896600000002,6.39,0.61,10.47540984,29.54,7.04,9.29,50,22,28,13282.96586,0,1,0,0,0,4,-87.66,42.02,4907.4770507812,20,0.0001109266,0.0,urban centre,"Cold, no dry season, hot summer"
53,53,3832.0,6200.569258,7.528030699,0.9987386060000001,0.20976359600000002,133.0942125,1918.990912,6851.284294,7.08,0.243861407,9.28,0.67,13.85074627,36.32,7.58,10.76,62,14,24,11899.58591,0,1,0,0,0,4,-87.64,41.84,4658.548828125,20,0.0001207618,645.4978027344,urban centre,"Cold, no dry season, hot summer"
54,54,3807.6,6262.38153,7.250862683,0.9976200120000001,0.11467537,131.767602,1703.439286,6899.193886,7.23,0.250262607,5.85,0.5,11.7,43.13,9.18,8.1,54,22,24,12705.39836,0,1,0,0,0,4,-87.76,41.93,9979.876953125,20,0.00011493130000000001,595.4243164062,urban centre,"Cold, no dry season, hot summer"
55,55,3656.0,6073.61525,7.438508593,0.9982626800000001,0.169374733,132.401966,1880.751475,6634.107355,7.17,0.179744823,4.64,0.31,14.96774194,14.1,5.74,6.91,54,18,28,14282.55384,0,1,0,0,0,5,-87.66,41.98,7137.4848632812,21,0.00010948050000000001,373.5742492676,urban centre,"Cold, no dry season, hot summer"
56,56,4133.8,6766.380843,7.415014476,0.998040103,0.12462244200000001,135.38986,1977.430518,7464.351136,7.15,0.187704522,5.89,0.48,12.27083333,15.82,7.1,8.84,30,30,40,14133.834,0,1,0,0,0,5,-87.71,41.84,4372.9765625,27,0.0001243709,637.7086791992,urban centre,"Cold, no dry season, hot summer"
57,57,4958.2,7838.098626,7.611950283,0.9983362920000001,0.12920388800000002,156.197612,2274.207629,8492.950393,6.65,0.257960532,8.45,0.71,11.90140845,171.81,20.37,10.58,64,10,26,14166.4653,0,1,0,0,0,5,-87.63,41.87,10771.1044921875,6,0.0001220258,523.4553833008,urban centre,"Cold, no dry season, hot summer"
58,58,4187.25,6656.344157,7.572955844,0.9985021350000001,0.16902987900000002,143.6082875,2089.196204,7301.243445,7.19,0.20125599200000002,4.83,0.39,12.38461538,16.02,5.89,7.2,52,22,26,15792.42725,0,1,0,0,0,5,-87.71,41.85,14181.73046875,29,0.0001281613,613.2282714844,urban centre,"Cold, no dry season, hot summer"
59,59,4251.0,6732.66901,7.493122837,0.99799908,0.14139837600000002,139.56033,2065.62808,7378.501306,6.99,0.21417325,5.95,0.41000000000000003,14.51219512,28.59,6.96,8.75,48,20,32,20251.9306,0,1,0,0,0,5,-87.67,42.01,14251.1025390625,25,0.0001087103,293.2325744629,urban centre,"Cold, no dry season, hot summer"
60,60,3954.4,6277.908068,7.570992025,0.998690845,0.195809631,139.22924,1993.096452,6759.149025,7.04,0.23442279200000002,10.22,0.76,13.44736842,24.88,14.89,15.87,60,18,22,22711.35595,0,1,0,0,0,5,-87.63,41.91,12161.1767578125,0,0.0001211604,0.0,urban centre,"Cold, no dry season, hot summer"
61,61,3938.6,6385.974991,7.499841985,0.998332804,0.17155541400000002,131.362574,1991.454321,7072.120314,7.2,0.252092093,9.65,0.85,11.35294118,46.79,9.2,13.64,48,18,34,1518.386043,0,0,1,0,0,1,-87.77,42.0,1853.4409179688,30,9.94031e-05,387.479888916,urban centre,"Cold, no dry season, hot summer"
62,62,3670.6,5672.659011,7.432147917,0.9983049650000001,0.16717115,128.401688,1777.55144,6138.603848,7.66,0.166833894,7.71,0.35000000000000003,22.02857143,22.89,3.77,6.7,74,6,20,1523.847726,0,0,1,0,0,1,-87.6,41.77,3389.96875,20,9.803080000000001e-05,477.6181335449,urban centre,"Cold, no dry season, hot summer"
63,63,3351.4,5240.440197,7.224988292,0.997379471,0.12809694800000002,117.512224,1608.465636,5726.52376,7.49,0.267445151,9.96,0.9,11.06666667,38.66,8.13,14.37,46,20,34,1573.456083,0,0,1,0,0,1,-87.61,41.72,1181.5083007812,20,9.08206e-05,393.416229248,urban centre,"Cold, no dry season, hot summer"
64,64,3698.4,5486.123426,7.421969548,0.9981279030000001,0.146188379,131.496554,1721.057117,5879.514695,7.61,0.146052638,9.26,0.59,15.69491525,20.97,6.38,11.03,48,16,36,3323.504197,0,0,1,0,0,1,-87.72,41.98,1059.2578125,25,0.0001065615,525.8215332031,urban centre,"Cold, no dry season, hot summer"
65,65,3660.6,5919.617492,7.203887562,0.993587172,0.11257586100000001,127.810028,1808.739596,6554.881325,7.78,0.177815608,5.82,0.36,16.16666667,24.13,5.72,8.16,60,14,26,2295.676492,0,0,1,0,0,1,-87.59,41.78,4530.1040039062,22,0.00010256950000000001,365.9876403809,urban centre,"Cold, no dry season, hot summer"
66,66,3190.8,5057.493915,7.119553104,0.9961572850000001,0.12015603500000001,114.685328,1492.15401,5545.920526,7.45,0.23190232600000002,9.41,0.71,13.25352113,47.87,6.5600000000000005,11.11,46,16,38,3342.061038,0,0,1,0,0,1,-87.64,41.72,2843.1069335938,26,9.44316e-05,515.3065795898,urban centre,"Cold, no dry season, hot summer"
67,67,4269.0,6635.117057,7.549595699,0.99787106,0.14231727300000002,140.892474,2064.9912,7193.689848,7.41,0.15940943600000002,8.84,0.67,13.19402985,19.17,6.5600000000000005,11.81,54,18,28,3770.929248,0,0,1,0,0,2,-87.79,41.98,3384.1481933594,4,0.0001024693,449.0269470215,urban centre,"Cold, no dry season, hot summer"
68,68,3389.8,5595.071235,7.13355373,0.995317102,0.07699736700000001,122.640636,1614.89374,6110.47664,7.53,0.175497692,6.66,0.38,17.52631579,23.67,4.67,7.19,66,12,22,3420.016929,0,0,1,0,0,2,-87.64,41.77,4305.8364257812,20,9.754e-05,606.5517578125,urban centre,"Cold, no dry season, hot summer"
69,69,3554.0,5459.275375,7.386887496,0.9982396950000001,0.163082271,126.909306,1660.687182,5840.425538,7.65,0.154654872,6.37,0.43,14.81395349,15.69,4.75,7.64,38,26,36,4111.634568,0,0,1,0,0,2,-87.62,41.7,4948.0131835938,24,8.992160000000001e-05,340.7302246094,urban centre,"Cold, no dry season, hot summer"
70,70,3649.0,5689.445126,7.441408622,0.9981668170000001,0.18435804700000002,131.119208,1869.087114,6157.028643,7.15,0.18451852,9.76,0.8300000000000001,11.75903614,34.14,17.39,17.86,48,22,30,5227.604011,0,0,1,0,0,2,-87.78,41.96,5935.140625,6,0.0001058305,515.3065795898,urban centre,"Cold, no dry season, hot summer"
71,71,3621.0,5888.138294,7.418251692,0.9981866090000001,0.157231487,125.36922,1842.886617,6482.730214,7.13,0.219010862,8.97,0.76,11.80263158,46.68,9.31,14.15,38,24,38,5124.353441,0,0,1,0,0,2,-87.72,41.8,4810.396484375,24,0.0001174226,595.4243164062,urban centre,"Cold, no dry season, hot summer"
72,72,3500.4,5810.082961,7.257074824,0.997080846,0.109510245,125.005654,1698.750951,6365.410196,7.28,0.23745863600000003,7.6,0.62,12.25806452,54.51,7.67,11.51,30,30,40,6544.207625,0,0,1,0,0,2,-87.65,41.74,3933.5322265625,20,9.489290000000001e-05,515.3065795898,urban centre,"Cold, no dry season, hot summer"
73,73,3946.5,6590.786218,7.578261013,0.9985560330000001,0.187023245,138.1539225,2140.500305,7263.099133,7.06,0.207570148,6.21,0.48,12.9375,22.86,6.3,9.26,58,18,24,7420.107108,0,0,1,0,0,3,-87.68,41.97,7223.0830078125,21,0.00011416720000000001,456.9929504395,urban centre,"Cold, no dry season, hot summer"
74,74,3764.8,6170.596671,7.389049755,0.997824562,0.139023277,132.601068,1868.820126,6704.149018,7.15,0.165013653,8.83,0.68,12.98529412,28.37,8.45,12.51,36,24,40,7444.769355,0,0,1,0,0,3,-87.72,41.86,7815.3471679688,26,0.0001246777,622.1301879883,urban centre,"Cold, no dry season, hot summer"
